Date,Low,High,Weather
11/21/20,65,81,Partly Cloudy
11/23/20,52,68,Partly Cloudy
11/26/20,45,78,Sunny
12/2/20,44,66,Sunny
12/3/20,40,59,Sunny
12/5/20,36,54,Partly Cloudy
12/8/20,43,79,Cloudy
12/16/20,36,58,Windy
12/17/20,30,66,Windy
12/20/20,42,69,Sunny
12/22/20,43,75,Rainy
12/23/20,47,82,Partly Cloudy
1/1/21,37,53,Rainy
1/8/21,37,54,Cloudy
1/13/21,32,67,Rainy
1/14/21,38,69,Cloudy
1/18/21,37,75,Sunny
1/19/21,50,69,Sunny
1/20/21,48,55,Sunny
1/22/21,52,78,Rainy
1/23/21,50,61,Partly Cloudy
1/25/21,49,76,Partly Cloudy
1/27/21,45,65,Rainy
1/28/21,38,56,Partly Cloudy
1/29/21,36,69,Partly Cloudy
1/30/21,53,80,Partly Cloudy
2/1/21,41,67,Rainy
2/3/21,45,77,Rainy
2/4/21,55,85,Partly Cloudy
2/5/21,44,61,Partly Cloudy
2/6/21,48,75,Partly Cloudy
2/8/21,51,76,Cloudy
2/10/21,37,46,Partly Cloudy
2/22/21,42,76,Rainy
2/23/21,47,79,Partly Cloudy
2/24/21,64,86,Partly Cloudy
2/25/21,51,66,Partly Cloudy
2/27/21,58,79,Rainy
3/3/21,38,73,Rainy
3/5/21,57,80,Partly Cloudy
3/6/21,49,69,Partly Cloudy
3/8/21,45,74,Cloudy
3/10/21,64,83,Partly Cloudy
3/13/21,68,77,Rainy
3/14/21,53,78,Cloudy
3/15/21,47,87,Partly Cloudy
3/16/21,67,83,Windy
3/18/21,47,73,Sunny
3/19/21,46,71,Sunny
3/23/21,56,79,Partly Cloudy